Generation,Highest Fp,Average Fp,Iteration,Fp
,,,24.67245658,1.86673E+11
,,,24.74193548,1.82592E+11
,,,24.81141439,1.86673E+11
,,,24.8808933,1.82592E+11
,,,24.95037221,1.82592E+11
,,,25.01985112,1.82592E+11
,,,25.08933002,1.82592E+11
,,,25.15880893,1.82592E+11
,,,25.22828784,1.84989E+11
,,,25.29776675,1.8259E+11
,,,25.36724566,1.86673E+11
,,,25.43672457,1.86673E+11
,,,25.50620347,1.84989E+11
,,,25.57568238,1.36768E+11
,,,25.64516129,1.86673E+11
,,,25.7146402,1.24569E+11
,,,25.78411911,1.75992E+11
,,,25.85359801,1.48948E+11
,,,25.92307692,1.82591E+11
,,,25.99255583,1.46149E+11
,,,26.06203474,1.82592E+11
,,,26.13151365,1.86673E+11
,,,26.20099256,1.45749E+11
,,,26.27047146,1.71253E+11
,,,26.33995037,1.86673E+11
,,,26.40942928,92809192768
,,,26.47890819,1.86671E+11
,,,26.5483871,1.86671E+11
,,,26.617866,1.8725E+11
,,,26.68734491,1.8667E+11
,,,26.75682382,1.8725E+11
,,,26.82630273,1.83182E+11
,,,26.89578164,1.8667E+11
,,,26.96526055,1.8667E+11
,,,27.03473945,1.82592E+11
,,,27.10421836,1.86673E+11
,,,27.17369727,1.84989E+11
,,,27.24317618,1.86671E+11
,,,27.31265509,1.8725E+11
,,,27.382134,1.8667E+11
,,,27.4516129,1.8667E+11
,,,27.52109181,1.71055E+11
,,,27.59057072,1.86672E+11
,,,27.66004963,1.12615E+11
,,,27.72952854,1.17785E+11
,,,27.79900744,1.86672E+11
,,,27.86848635,1.33413E+11
,,,27.93796526,1.86673E+11
,,,28.00744417,1.66562E+11
,,,28.07692308,2.00908E+11
,,,28.14640199,1.55986E+11
,,,28.21588089,1.86671E+11
,,,28.2853598,1.8725E+11
,,,28.35483871,1.8667E+11
,,,28.42431762,1.8725E+11
,,,28.49379653,2.03969E+11
,,,28.56327543,1.12461E+11
,,,28.63275434,1.87089E+11
,,,28.70223325,1.65741E+11
,,,28.77171216,1.8725E+11
,,,28.84119107,1.8667E+11
,,,28.91066998,1.34265E+11
,,,28.98014888,1.87249E+11
,,,29.04962779,1.8667E+11
,,,29.1191067,1.8725E+11
,,,29.18858561,1.37049E+11
,,,29.25806452,1.86673E+11
,,,29.32754342,1.8725E+11
,,,29.39702233,1.78084E+11
,,,29.46650124,1.43192E+11
,,,29.53598015,2.00909E+11
,,,29.60545906,2.18455E+11
,,,29.67493797,1.8725E+11
,,,29.74441687,1.8725E+11
,,,29.81389578,1.8725E+11
,,,29.88337469,1.98838E+11
,,,29.9528536,2.00908E+11
,,,30.02233251,2.03969E+11
,,,30.09181141,1.87141E+11
,,,30.16129032,1.94705E+11
,,,30.23076923,1.86671E+11
,,,30.30024814,1.81912E+11
,,,30.36972705,1.33443E+11
,,,30.43920596,1.87248E+11
,,,30.50868486,1.24799E+11
,,,30.57816377,2.18455E+11
,,,30.64764268,1.9222E+11
,,,30.71712159,1.99212E+11
,,,30.7866005,2.033E+11
,,,30.8560794,2.033E+11
,,,30.92555831,2.033E+11
,,,30.99503722,2.033E+11
,,,31.06451613,2.033E+11
,,,31.13399504,2.00908E+11
,,,31.20347395,2.03969E+11
,,,31.27295285,1.13312E+11
,,,31.34243176,2.03969E+11
,,,31.41191067,1.48679E+11
,,,31.48138958,2.03968E+11
,,,31.55086849,1.97934E+11
,,,31.62034739,2.03969E+11
,,,31.6898263,2.03969E+11
,,,31.75930521,2.03969E+11
,,,31.82878412,2.18457E+11
,,,31.89826303,2.03969E+11
,,,31.96774194,1.98814E+11
,,,32.03722084,2.03969E+11
,,,32.10669975,1.59627E+11
,,,32.17617866,2.03968E+11
,,,32.24565757,2.06938E+11
,,,32.31513648,2.03968E+11
,,,32.38461538,2.18457E+11
,,,32.45409429,2.18457E+11
,,,32.5235732,1.78278E+11
,,,32.59305211,1.30244E+11
,,,32.66253102,2.20252E+11
,,,32.73200993,2.03969E+11
,,,32.80148883,2.18457E+11
,,,32.87096774,1.49872E+11
,,,32.94044665,1.47981E+11
,,,33.00992556,2.39752E+11
,,,33.07940447,2.03969E+11
,,,33.14888337,1.62641E+11
,,,33.21836228,2.18457E+11
,,,33.28784119,2.08598E+11
,,,33.3573201,2.18457E+11
,,,33.42679901,1.85736E+11
,,,33.49627792,1.48812E+11
,,,33.56575682,2.03703E+11
,,,33.63523573,2.18455E+11
,,,33.70471464,2.3975E+11
,,,33.77419355,2.18457E+11
,,,33.84367246,2.3975E+11
,,,33.91315136,1.64691E+11
,,,33.98263027,2.39752E+11
,,,34.05210918,2.20457E+11
,,,34.12158809,2.24109E+11
,,,34.191067,2.3194E+11
,,,34.26054591,2.18457E+11
,,,34.33002481,1.67524E+11
,,,34.39950372,2.18457E+11
,,,34.46898263,1.85696E+11
,,,34.53846154,2.18455E+11
,,,34.60794045,1.36873E+11
,,,34.67741935,1.88246E+11
,,,34.74689826,1.74707E+11
,,,34.81637717,1.4738E+11
,,,34.88585608,1.16226E+11
,,,34.95533499,2.53817E+11
,,,35.0248139,1.85058E+11
,,,35.0942928,2.3975E+11
,,,35.16377171,2.16676E+11
